월,사업부,매출,매출원가,판매관리비,기타수익
2025-01,클라우드,125000000,62500000,18750000,500000
2025-01,AI솔루션,89000000,35600000,13350000,200000
2025-01,컨설팅,45000000,22500000,9000000,100000
2025-02,클라우드,132000000,66000000,19800000,600000
2025-02,AI솔루션,95000000,38000000,14250000,300000
2025-02,컨설팅,48000000,24000000,9600000,150000
2025-03,클라우드,141000000,70500000,21150000,700000
2025-03,AI솔루션,102000000,40800000,15300000,350000
2025-03,컨설팅,51000000,25500000,10200000,200000
2025-04,클라우드,138000000,69000000,20700000,550000
2025-04,AI솔루션,98000000,39200000,14700000,280000
2025-04,컨설팅,47000000,23500000,9400000,120000
2025-05,클라우드,145000000,72500000,21750000,800000
2025-05,AI솔루션,110000000,44000000,16500000,400000
2025-05,컨설팅,53000000,26500000,10600000,250000
2025-06,클라우드,155000000,77500000,23250000,900000
2025-06,AI솔루션,118000000,47200000,17700000,450000
2025-06,컨설팅,56000000,28000000,11200000,300000
2025-07,클라우드,160000000,80000000,24000000,950000
2025-07,AI솔루션,125000000,50000000,18750000,500000
2025-07,컨설팅,58000000,29000000,11600000,320000
2025-08,클라우드,152000000,76000000,22800000,850000
2025-08,AI솔루션,120000000,48000000,18000000,420000
2025-08,컨설팅,55000000,27500000,11000000,280000
2025-09,클라우드,165000000,82500000,24750000,1000000
2025-09,AI솔루션,130000000,52000000,19500000,550000
2025-09,컨설팅,60000000,30000000,12000000,350000
2025-10,클라우드,172000000,86000000,25800000,1100000
2025-10,AI솔루션,138000000,55200000,20700000,600000
2025-10,컨설팅,63000000,31500000,12600000,400000
2025-11,클라우드,180000000,90000000,27000000,1200000
2025-11,AI솔루션,145000000,58000000,21750000,650000
2025-11,컨설팅,66000000,33000000,13200000,450000
2025-12,클라우드,190000000,95000000,28500000,1300000
2025-12,AI솔루션,155000000,62000000,23250000,700000
2025-12,컨설팅,70000000,35000000,14000000,500000
